"EventDate","alias_name","price","commented","market_time","screen_size","ram_size","rom_size","battery_capacity","cost_efficient","performance","endurance","appearance","camera_performance"
2020-11-28,华为Mate50,"0","0","","","","","","0","0","0","0","0"
2020-11-28,华为Mate50Pro,"0","0","","6.88","","","4500mAh","0","0","0","0","0"
2020-11-28,华为Mate50Pro+,"0","0","","6.88","","","4500mAh","0","0","0","0","0"
2020-11-28,华为Mate50RS,"0","0","","6.88","","","4500mAh","0","0","0","0","0"
2020-11-27,华为Nova青春版,"1008","75","2017年03月24日","5.2","4GB","64GB","3000mAh","6","4","6","8","7"
2020-11-28,华为P Smart 2019,"0","0","2018年>","6.2","3GB","64GB","3400mAh大电池手机","0","0","0","0","0"
2020-11-28,华为P Smart 2021,"1600","0","2020年>","6.67","4GB","128GB","5000mAh","0","0","0","0","0"
2020-11-28,华为P Smart Z,"0","0","2019年>","6.5","4GB","64GB","4000mAh","0","0","0","0","0"
2020-11-28,华为P20 Plus,"5288","152","2018年04月12日","6.1","8GB","64GB/128GB/256GB","4000mAh","8","8","8","8","9"
2020-11-28,华为P30,"4288","254","2019年04月","6.1","8GB","64GB/128GB/256GB","3650mAh（30分钟充电62%）大电池手机","9","10","8","9","9"
2020-11-28,华为P40 Pro,"7388","19","2020年4月8日","6.58","8GB","512GB","4200mAh","8","9","8","10","10"
2020-11-28,华为P40 Pro Plus,"8888","22","2020年6月1日","6.58","8GB","512GB","4200mAh","9","9","9","9","10"
2020-11-28,华为P40Pro,"5988","19","2020年4月8日","6.58","8GB","128GB","4200mAh","8","9","8","10","10"
2020-11-28,华为P50,"0","0","","","6GB/8GB/12GB","64GB/128GB/256GB","5300mAh","0","0","0","0","0"
2020-11-28,华为P50 Pr,"0","0","","","6GB/8GB/12GB","64GB/128GB/256GB","5300mAh","0","0","0","0","0"
2020-11-28,华为Y7 Pro 2019,"0","0","","6.26","3GB","32GB","4000mAh","0","0","0","0","0"
2020-11-28,华为Y9a,"0","0","2020年9月","6.63","6GB/8GB","128GB","4300mAh","0","0","0","0","0"
2020-11-28,华为m,"16999","20","","8","8GB","512GB","4500mAh","9","10","9","9","9"
2020-11-28,华为mate,"16999","41","2019年11月15日","8","8GB","512GB","4500mAh","8","10","8","9","8"
2020-11-28,华为mateX2,"0","0","","8","","","4500mAh","0","0","0","0","0"
2020-11-28,华为nova 8,"0","0","2020年>","6.5","","","4000mAh","0","0","0","0","0"
2020-11-28,华为nova 8 Pro,"0","0","2020年>","6.5","","","4000mAh","0","0","0","0","0"
2020-11-28,华为nova 8 SE,"2699","14","2020年11月11日","6.53","8GB","128GB","3800mAh大电池手机","8","8","9","9","8"
2020-11-28,华为nova4,"2699","144","2018年12月27日","6.4","8GB","128GB","3750mAh大电池手机","9","8","8","9","9"
2020-11-28,华为nova6,"2999","24","2019年12月12日","6.57","8GB","128GB","4200mAh","9","9","8","8","7"
2020-11-28,华为p30 pro,"5288","150","2019年04月","6.47","8GB","512GB","4200mAh（30分钟充电75%）","8","9","9","9","10"
2020-11-28,华为畅享 9S,"1399","4","2019年3月","6.21","6GB","64GB","3400mAh大电池手机","7","6","7","8","6"
2020-11-28,华为畅享 MAX,"1699","13","2018年10月15","7.12","4GB","64GB/128GB","5000mAh","7","7","8","7","6"
2020-11-28,华为畅享9,"1149","24","2018年12月","6.26","4GB","64GB","4000mAh","8","3","8","8","6"
2020-11-28,华为畅享9 Plus,"1799","144","2018年10月20日","6.5","6GB","64GB","4000mAh","8","7","8","8","7"
2020-11-28,华为畅享9Plus,"1799","144","2018年10月20日","6.5","6GB","64GB","4000mAh","8","7","8","8","7"
2020-11-28,华为畅享9e,"999","4","2019年03月","6.088","3GB","32GB/64GB","3020mAh","7","5","4","7","5"
2020-11-28,华为畅享MAX,"1699","13","2018年10月15","7.12","4GB","64GB/128GB","5000mAh","7","7","8","7","6"
2020-11-28,华为畅享Z 5G,"1699","2","2020年06月1日","6.5","6GB","64GB","4000mAh","9","9","10","8","8"
2020-11-28,华为畅想10e,"1199","17","2020年3月5日","6.3","4GB","64GB","5000mAh","7","8","9","5","4"
2020-11-28,华为高感光夜拍,"1899","2","2020年06月1日","6.5","6GB","128GB","4000mAh","9","9","10","8","8"
2020-11-28,华为麒麟820芯片,"3199","18","2020年04月28日","6.5","8GB","256GB","4000mAh","9","9","8","8","8"
2020-11-28,华为麦芒8,"1599","6","2019年06月","6.21","6GB","128GB","3400mAh（30分钟充电28%）大电池手机","8","8","7","8","7"
2020-11-28,华硕 ZB633KL,"0","0","2018年11月","6","4GB","32GB/64GB","4500mAh","0","0","0","0","0"
2020-11-28,华硕 ZC600KL,"0","1","2018年>","6","3GB/4GB","32GB/64GB","3300mAh大电池手机","0","0","0","0","0"
2020-11-28,华硕 ZenFone 5Q,"0","1","2018年>","6","3GB/4GB","32GB/64GB","3300mAh大电池手机","0","0","0","0","0"
2020-11-28,华硕 ZenFone7,"5600","0","2020年>","6.67","8GB","128GB","5000mAh","0","0","0","0","0"
2020-11-28,华硕 ZenFone7 Pro,"6600","0","2020年>","6.67","8GB","256GB","5000mAh","0","0","0","0","0"
2020-11-28,华硕ROG,"13899","2","2020年9月","6.59","16GB","512GB","6000mAh","9","10","10","7","8"
2020-11-28,华硕ROG游戏手机3,"13899","2","2020年9月","6.59","16GB","512GB","6000mAh","9","10","10","7","8"
2020-11-28,双屏5G,"0","0","","6.26","6GB","64GB","3800mAh大电池手机","0","0","0","0","0"
2020-11-28,双面玻璃,"749","0","2019年08月>","6.3","6GB","64GB","4000mAh","0","0","0","0","0"
2020-11-28,国美 L11,"99","1","2018年05月","2.4","256MB","512MB","2000mAh","8","5","6","6","2"
2020-11-28,国美 声纹识别手机,"598","134","2018年05月","5.99","4GB","64GB","3500mAh大电池手机","9","5","7","6","6"
2020-11-28,坚果 5G,"6499","16","2020年10月","6.67","8GB","512GB","4510mAh","8","10","8","9","9"
2020-11-28,坚果 Pro 4,"0","0","","6.39","","","","0","0","0","0","0"
2020-11-28,坚果Pro 4,"0","0","","6.39","","","","0","0","0","0","0"
2020-11-28,坚果Pro4,"0","0","","6.39","","","","0","0","0","0","0"
2020-11-28,坚果r2,"6499","16","2020年10月","6.67","8GB","512GB","4510mAh","8","10","8","9","9"
2020-11-28,夏普 B10,"0","0","2018年>","5.7","3GB","32GB","4000mAh","0","0","0","0","0"
2020-11-28,夏普 FS8010,"0","0","2017年>","5.5","4GB","64GB","","0","0","0","0","0"
2020-11-28,夏普 FS8015,"0","0","2018年>","6","6GB","64GB","3200mAh","0","0","0","0","0"
2020-11-28,夏普 机器人手机,"0","1","","2","","","1700mAh","0","0","0","0","0"
2020-11-28,夏普AQUOS R3,"0","0","2019年>","6.2","6GB","128GB","3200mAh","0","0","0","0","0"
2020-11-28,夏普AQUOS Sense 3,"0","0","2019年>","","","","","0","0","0","0","0"
2020-11-28,夏普Aquos v,"1600","0","2019年>","5.93","4GB","64GB","3090mAh","0","0","0","0","0"
2020-11-28,夏普Aquos zero2,"0","1","2019年>","6.4","8GB","256GB","3130mAh","2","8","8","8","8"
2020-11-28,夏普aquos zero2,"0","1","2019年>","6.4","8GB","256GB","3130mAh","2","8","8","8","8"
2020-11-28,多亲1s+,"499","0","2019年03月","2.8","512MB","4GB","1480mAh","0","0","0","0","0"
2020-11-28,多亲AI助手,"499","0","2019年09月","5.05","","32GB","2100mAh","0","0","0","0","0"
2020-11-28,多亲QF9,"299","0","2019年04月","2.4","512MB","4GB","1820mAh","0","0","0","0","0"
2020-11-28,多亲Qin2,"499","0","2019年09月","5.05","","32GB","2100mAh","0","0","0","0","0"
2020-11-28,多亲Qin2 Pro,"599","2","2019年10月","5.05","2GB","32GB","2100mAh","8","6","6","7","6"
2020-11-28,大神 Note3高配版,"750","303","2016年01月>","5.5","3GB","32GB","3000mAh","7","2","7","7","7"
2020-11-28,天机10pro,"4999","23","2019年7月","6.47","8GB","256GB","4000mAh（30分钟充电38%）","8","9","7","8","8"
2020-11-28,天机11,"2998","20","2020年03月","6.47","8GB","256GB","4000mAh","0","0","0","0","0"
2020-11-28,天机7 Max,"666","18","2016年11月3日","6","4GB","64GB","4100mAh","7","4","8","8","8"
2020-11-28,天机9pro,"3288","12","2018年09月","6.21","8GB","64GB","4000mAh","6","6","6","6","6"
2020-11-28,天机Axon 11,"2998","20","2020年03月","6.47","8GB","256GB","4000mAh","0","0","0","0","0"
2020-11-28,天语 8848 Note5,"669","0","2018年03月","5.72","3GB","32GB/64GB","2650mAh","0","0","0","0","0"
2020-11-28,天语 K7,"299","0","2019年09月","5","3GB","16GB","2000mAh","0","0","0","0","0"
